"age","rel_status","gender","gender_text","sex","transgender","transgender_text","masc_feel","fem_feel","masc_present","fem_present","gender_transition","hormones","hormones_text","surgeries","surgeries_text","sex_orient","sex_orient_text","rom_orient","rom_orient_text","sex_orient_best","sex_orient_best_text","asexual","bisexual","demisexual","gay","hetero","lesbian","omnisexual","pansexual","queer","other_sexuality","other_sexuality_text","rom_orient_best","rom_orient_best_text","arom","birom","demirom","heterorom","homorom","omnirom","panrom","other_rom","other_rom_text","sexual_role","race_asian","race_black","race_hispanic","race_nativeam","race_mideast","race_white","race_na","rel_protestant","rel_catholic","rel_mormon","rel_jeworthodox","rel_jewconserve","rel_jewreform","rel_muslim","rel_buddhist","rel_hindu","rel_athiest","rel_agnostic","rel_spirit","rel_na","height_feet","height_inches","education","pol_orient","pol_party","sex_with_males","sex_with_females","sexatt_ident_woman","sexatt_ident_man","sexatt_ident_nonbinary","sexatt_pres_feminine","sexatt_pres_masculine","sexatt_pres_neither","sexatt_pres_both","sexatt_sex_female","sexatt_sex_male","sexatt_sex_intersex","romatt_ident_woman","romatt_ident_man","romatt_ident_nonbinary","romatt_pres_feminine","romatt_pres_masculine","romatt_pres_neither","romatt_pres_both","romatt_sex_female","romatt_sex_male","romatt_sex_intersex","jealous_imagined_1","jealous_imagined_2","jealous_imagined_3","jealous_imagined_4","soi_partnernum","soi_oneocc","soi_short_interest","soi_nolove","soi_casualsex","soi_longterm","soi_fantasies_extrapair","soi_arousal","soi_fantasies_stranger","variety_partnum_5yrs","variety_partnum_1yr","variety_partnum_month","sex_5yrs","sex_2yrs","sex_1yr","sex_6months","sex_3months","sex_1month","sex_1week","sex_1day","sex_1evening","sex_1hour","m_lt_check","m_lt_health1","m_lt_health2","m_lt_intell1","m_lt_intell2","m_lt_kind1","m_lt_kind2","m_lt_physatt1","m_lt_physatt2","m_lt_resources1","m_lt_resources2","m_lt_age","f_lt_check","f_lt_health1","f_lt_health2","f_lt_intell1","f_lt_intell2","f_lt_kind1","f_lt_kind2","f_lt_physatt1","f_lt_physatt2","f_lt_resources1","f_lt_resources2","f_lt_age","f_st_check","f_st_health1","f_st_health2","f_st_intell1","f_st_intell2","f_st_kind1","f_st_kind2","f_st_physatt1","f_st_physatt2","f_st_resources1","f_st_resources2","f_st_age","m_st_check","m_st_health1","m_st_health2","m_st_intell1","m_st_intell2","m_st_kind1","m_st_kind2","m_st_physatt1","m_st_physatt2","m_st_resources1","m_st_resources2","m_st_age","PIN","bisexualLT","bisexualST","fltprop","fstprop","mltprop","mstprop","matingprop","prefNaCheck","NAcheck","soi_comp","m_lt_health","m_lt_intell","m_lt_kind","m_lt_physatt","m_lt_resources","f_lt_health","f_lt_intell","f_lt_kind","f_lt_physatt","f_lt_resources","f_st_health","f_st_intell","f_st_kind","f_st_physatt","f_st_resources","m_st_health","m_st_intell","m_st_kind","m_st_physatt","m_st_resources","jealousy_comp","ssp_lt_health","ssp_lt_kind","ssp_lt_intell","ssp_lt_resources","ssp_lt_physatt","ssp_lt_age","ssp_st_health","ssp_st_kind","ssp_st_intell","ssp_st_resources","ssp_st_physatt","ssp_st_age","osp_lt_health","osp_lt_kind","osp_lt_intell","osp_lt_resources","osp_lt_physatt","osp_lt_age","osp_st_health","osp_st_kind","osp_st_intell","osp_st_resources","osp_st_physatt","osp_st_age","partnum_pca","sex_time_pca1","sex_time_pca2"
38,4,"0","","0",1,"",4,5,5,5,NA,NA,"",NA,"",0,"",1,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,1,2,1,1,2,3,3,2,3,2,3,3,2,2,2,NA,2,3,2,3,2,3,2,2,0,0,0,0,2,1,2,5,5,5,2,6,6,0,0,0,1,1,2,1,1,1,1,1,1,1,1,4,3,3,3,4,4,3,3,4,3,3,1,2,9,6,2,6,6,8,2,2,6,7,1,3,3,3,3,3,4,3,3,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"q59",1,0,0,0,0,NA,0,0.25,0.0743243243243243,3.77777777777778,3.5,3,4,3,3.5,5.5,4,6,5,4,3,3,3.5,3,3.5,NA,NA,NA,NA,NA,0,5.5,6,4,4,5,7,3,3.5,3,3.5,3,3,3.5,4,3,3.5,3,3,NA,NA,NA,NA,NA,NA,-0.973075166180957,-0.605533203308504,-3.01546294698574
19,1,"1","","1",1,"",6,2,6,1,NA,NA,"",NA,"",0,"",0,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,10,4,4,5,1,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,0,0,0,0,5,2,3,6,5,5,2,5,1,15,7,3,7,7,7,6,5,4,3,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,8,6,5,5,5,9,9,7,7,0,1,9,5,4,5,6,7,8,9,5,8,0,1,8,7,5,5,4,5,9,9,7,8,0,"q818",0,1,0,0,NA,0,0,0.25,0.0743243243243243,3.77777777777778,NA,NA,NA,NA,NA,7.5,5.5,5,9,7,7,4.5,6.5,8.5,6.5,7.5,5,4.5,9,7.5,0,NA,NA,NA,NA,NA,NA,7.5,4.5,5,7.5,9,0,7.5,5,5.5,7,9,0,7,6.5,4.5,6.5,8.5,0,1.50107076328302,-0.715861622188217,0.753001386708402
42,0,"0","","0",1,"",7,7,7,6,NA,NA,"",NA,"",4,"",4,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",7,"",NA,NA,NA,NA,NA,NA,NA,1,"",5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,6,3,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,3,1,1,1,0,2,2,2,1,1,1,1,1,1,2,2,2,6,6,6,6,6,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,4,1,0,2,3,5,5,6,5,5,4,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"q486",1,0,0,NA,0,NA,0,0.333333333333333,0.0990990990990991,1.33333333333333,10,10,10,10,10,1,4,5.5,5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5.5,4,3.5,5,4,NA,NA,NA,NA,NA,NA,10,10,10,10,10,4,NA,NA,NA,NA,NA,NA,0.0614336946601428,-1.01798689005377,0.26206702162601
31,0,"0","","0",1,"",4,4,5,4,NA,NA,"",NA,"",0,"",0,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,6,4,2,1,2,1,3,1,1,3,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1,1,1,0,1,3,3,4,6,6,4,4,5,4,1,1,1,4,4,4,4,5,5,5,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,2,3,3,3,3,2,4,3,3,1,4,4,4,3,3,3,4,3,3,5,3,1,4,4,4,4,4,4,3,3,4,5,3,"q109",0,1,0,0,NA,0,0,0.25,0.0743243243243243,4.33333333333333,NA,NA,NA,NA,NA,3,2.5,3,2.5,3.5,4,3.5,3,3.5,4,4,4,4,3,4.5,3,3,3,2.5,3.5,2.5,3,4,3,3.5,4,3.5,3,NA,NA,NA,NA,NA,NA,4,4,4,4.5,3,3,-0.455820735760407,0.843775735935378,-1.28497846177975
40,4,"0","","0",1,"",2,7,6,7,NA,NA,"",NA,"",0,"",0,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,16.5,7,2,2,1,2,2,2,2,2,2,2,2,1,3,2,2,2,1,3,3,1,1,2,2,2,0,1,0,0,2,2,1,9,1,1,1,1,7,4,3,2,7,7,7,7,7,7,7,7,7,7,1,10,10,10,10,10,10,10,10,10,10,4,1,10,10,10,5,10,10,10,5,5,10,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,10,10,10,10,10,10,10,10,10,4,"q706",1,0,0,NA,0,0,0,0.333333333333333,0.0990990990990991,2.77777777777778,10,10,10,10,10,10,7.5,10,7.5,7.5,NA,NA,NA,NA,NA,10,10,10,10,10,1,10,10,7.5,7.5,7.5,1,NA,NA,NA,NA,NA,NA,10,10,10,10,10,4,10,10,10,10,10,4,0.260240951968164,1.84979326716872,0.409050365328342
48,4,"0","","0",1,"",4,6,1,6,NA,NA,"",NA,"",0,"",0,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,4,5,1,1,3,3,3,3,3,3,3,3,3,1,3,3,1,2,3,1,2,3,3,1,0,0,0,0,3,2,3,6,5,1,5,4,1,3,2,2,4,3,6,6,5,5,6,7,2,1,1,9,9,8,9,8,7,8,9,7,9,6,1,5,9,6,8,9,9,5,7,7,10,6,1,6,10,9,5,0,6,8,7,6,10,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"q575",1,0,0,0,0,NA,0,0.25,0.0743243243243243,3.33333333333333,9,8.5,7.5,8.5,8,7,7,9,6,8.5,8,7,3,7.5,8,NA,NA,NA,NA,NA,0,7,9,7,8.5,6,6,8,3,7,8,7.5,6,9,7.5,8.5,8,8.5,6,NA,NA,NA,NA,NA,NA,0.093222096902703,0.704692971172205,-0.773390255696886
75,0,"1","","1",1,"",7,1,7,1,NA,NA,"",NA,"",2,"",0,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,0,4,5,2,1,1,3,2,2,3,1,1,2,3,2,1,3,1,1,3,1,1,1,2,1,1,0,0,1,1,1,8,8,9,9,9,2,3,2,2,2,1,7,7,7,7,7,7,7,5,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,5,6,1,5,5,5,5,5,5,5,5,5,5,6,1,5,5,5,5,5,5,5,5,5,5,6,"q230",0,1,0,0,NA,0,0,0.25,0.0743243243243243,5.66666666666667,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,NA,NA,NA,NA,NA,NA,5,5,5,5,5,6,5,5,5,5,5,6,5,5,5,5,5,6,-0.288801880694946,0.958612068378677,0.735502269759202
22,2,"0","","0",1,"",1,7,1,7,NA,NA,"",NA,"",2,"",0,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,5,4,6,2,1,1,3,3,3,3,3,3,3,3,3,3,2,3,2,1,3,1,2,2,3,2,1,1,1,1,2,2,2,9,8,7,7,9,1,5,8,4,7,7,7,7,7,7,1,1,1,1,1,9,10,10,10,9,9,9,9,10,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,7,10,10,10,10,5,5,5,5,1,1,4,10,10,10,10,10,9,10,10,10,1,"q802",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,5.22222222222222,9.5,10,9,9,8,NA,NA,NA,NA,NA,7.5,10,10,5,5,7,10,10,9.5,10,4,NA,NA,NA,NA,NA,NA,7.5,10,10,5,5,1,9.5,9,10,8,9,1,7,10,10,10,9.5,1,1.66865276903541,-0.692186421720631,1.14307830064363
40,0,"1","","1",1,"",6,5,6,6,NA,NA,"",NA,"",1,"",0,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,"",NA,NA,1,NA,NA,NA,NA,NA,"",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,6,4,3,2,NA,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,1,0,0,0,5,3,3,5,6,4,2,3,2,20,5,1,3,4,6,3,4,4,3,2,5,6,1,2,1,1,1,2,6,2,1,6,2,1,1,1,3,3,1,7,2,8,4,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"q345",1,0,0,NA,0,NA,0,0.333333333333333,0.0990990990990991,3.66666666666667,1.5,1,4,1.5,4,2,2,4.5,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,4,1,4,1.5,1,NA,NA,NA,NA,NA,NA,2,4.5,2,1,6,3,NA,NA,NA,NA,NA,NA,0.689080718139841,0.663746197181642,-1.40881180814767
37,4,"0","","0",1,"",5,5,5,5,NA,NA,"",NA,"",0,"",0,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,11,3,3,1,1,1,2,3,2,2,2,2,1,2,3,1,2,3,1,2,2,2,1,2,2,2,0,0,0,0,2,2,5,9,2,6,7,2,7,5,2,1,7,7,7,6,6,5,4,4,4,2,1,6,4,6,6,4,6,6,6,7,6,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,4,6,6,4,7,7,7,6,4,3,1,4,4,6,6,4,4,7,7,6,4,3,"q636",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,4.66666666666667,5,6,5,6,6.5,NA,NA,NA,NA,NA,5.5,6,5.5,7,5,4,6,4,7,5,0,NA,NA,NA,NA,NA,NA,5.5,5.5,6,5,7,3,5,5,6,6.5,6,3,4,4,6,5,7,3,-0.193436673967265,0.151085252362807,0.6259129662962
