"PIN","sex","partnerSex","trait","value","study"
"q59","0","1","health",3.5,1
"q818","1","1","health",NA,1
"q486","0","1","health",10,1
"q109","0","1","health",NA,1
"q706","0","1","health",10,1
"q575","0","1","health",9,1
"q230","1","1","health",NA,1
"q802","0","1","health",9.5,1
"q345","1","1","health",1.5,1
"q636","0","1","health",5,1
"q238","0","1","health",NA,1
"q748","0","1","health",6.5,1
"q756","0","1","health",6.5,1
"q650","0","1","health",6.5,1
"q191","0","1","health",5,1
"q275","0","1","health",5,1
"q744","1","1","health",5.5,1
"q350","0","1","health",7,1
"q773","0","1","health",7,1
"q578","0","1","health",9.5,1
"q613","0","1","health",1.5,1
"q287","0","1","health",7.5,1
"q380","0","1","health",5.5,1
"q249","0","1","health",8.5,1
"q651","0","1","health",9,1
"q167","0","1","health",9,1
"q397","0","1","health",10,1
"q763","0","1","health",NA,1
"q210","1","1","health",7,1
"q553","1","1","health",NA,1
"q757","0","1","health",5,1
"q509","0","1","health",5,1
"q803","0","1","health",4,1
"q265","0","1","health",2,1
"q539","0","1","health",5,1
"q642","0","1","health",5.5,1
"q437","1","1","health",5,1
"q503","0","1","health",6.5,1
"q260","0","1","health",5,1
"q600","0","1","health",8.5,1
"q112","0","1","health",1.5,1
"q127","0","1","health",NA,1
"q9","0","1","health",9,1
"q262","0","1","health",5,1
"q227","0","1","health",NA,1
"q128","0","1","health",7.5,1
"q654","0","1","health",5.5,1
"q136","0","1","health",6.5,1
"q115","0","1","health",4,1
"q666","0","1","health",4.5,1
"q372","0","1","health",9,1
"q20","0","1","health",5,1
"q45","1","1","health",2,1
"q767","1","1","health",3.5,1
"q283","0","1","health",5,1
"q671","0","1","health",9.5,1
"q252","0","1","health",NA,1
"q630","0","1","health",NA,1
"q423","0","1","health",8,1
"q298","0","1","health",6,1
"q715","0","1","health",NA,1
"q693","1","1","health",6.5,1
"q224","1","1","health",8.5,1
"q79","0","1","health",9,1
"q550","1","1","health",8,1
"q764","0","1","health",NA,1
"q491","0","1","health",8,1
