"age","rel_status","gender","gender_3_TEXT","sex","transgender","transgender_4_TEXT","sexual_attraction","sexual_attraction_4_TEXT","romantic_attraction","romantic_attraction_4_TEXT","attn_check","sex_orient_best","sex_orient_best_9_TEXT","sex_orient_multi","sex_orient_multi_9_TEXT","romantic_orient_best","romantic_orient_best_7_TEXT","rom_orient_multi","rom_orient_multi_7_TEXT","pref_check_1","pref_check_2","pref_check_3","pref_check_4","race","education","sex_with_males","sex_with_females","f_lt_health1","f_lt_health2","f_lt_intell1","f_lt_intell2","f_lt_kind1","f_lt_kind2","f_lt_physatt1","f_lt_physatt2","f_lt_resources1","f_lt_resources2","f_lt_age","m_lt_health1","m_lt_health2","m_lt_intell1","m_lt_intell2","m_lt_kind1","m_lt_kind2","m_lt_physatt1","m_lt_physatt2","m_lt_resources1","m_lt_resources2","m_lt_age","PIN","sexuality","f_lt_health","f_lt_intell","f_lt_kind","f_lt_physatt","f_lt_resources","m_lt_health","m_lt_intell","m_lt_kind","m_lt_physatt","m_lt_resources","ageLik","m_Lt_AgeLik","f_Lt_AgeLik"
"28","4","0","","0","1","","2","","2","","1","1","","1,4","","1","","9,11","","1","1","1","1","6","7","1","2",9,3,7,7,6,7,5,5,5,7,2,9,3,7,7,6,9,5,5,5,5,2,"441",0,6,7,6.5,5,6,6,7,7.5,5,5,2,0,0
"56","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","2","2","6","8","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,10,10,7,6,9,6,7,"152",1,NA,NA,NA,NA,NA,8,8,10,6.5,7.5,6,1,NA
"28","0","0","","0","1","","2","","2","","1","1","","1","","0","","8","","1","1","1","1","6","3","1","1",5,5,7,8,5,10,5,5,5,5,2,5,5,6,6,5,7,5,6,6,5,2,"266",0,5,7.5,7.5,5,5,5,6,6,5.5,5.5,2,0,0
"51","0","1","","1","1","","0","","0","","1","4","","","","3","","","","2","1","2","1","6","4","2","1",5,5,6,6,6,6,5,5,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71",1,5,6,6,5,5.5,NA,NA,NA,NA,NA,6,NA,-1
"40","2","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","4","2","1",6,5,5,5,5,5,6,6,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93",1,5.5,5,5,6,5,NA,NA,NA,NA,NA,4,NA,0
"31","0","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","6","2","1",7,6,5,6,5,6,6,7,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"99",1,6.5,5.5,5.5,6.5,5,NA,NA,NA,NA,NA,2,NA,-1
"24","2","0","","0","1","","2","","2","","1","7","","7","","0","","8","","1","1","2","1","6","3","1","1",6,7,7,7,8,6,8,6,8,6,1,7,8,7,7,5,6,5,7,9,6,1,"34",0,6.5,7,7,7,7,7.5,7,5.5,6,7.5,1,0,0
"41","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","6","1","1",6,6,5,5,6,5,6,6,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"390",1,6,5,5.5,6,5,NA,NA,NA,NA,NA,4,NA,0
"21","0","0","","0","1","","3","","2","","1","0","","0,1","","1","","9,10","","1","1","2","2","1","4","1","2",7,7,6,7,6,6,5,5,6,6,1,7,6,7,7,6,6,5,5,6,6,1,"391",0,7,6.5,6,5,6,6.5,7,6,5,6,1,0,0
"59","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","6","6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,8,8,8,6,6,8,7,7,"90",1,NA,NA,NA,NA,NA,7,7.5,8,6,7.5,7,0,NA
